ra,dec,V,eV,I,eI
0 59 22.420,-32 25 05.800,19.852,0.008,17.818,0.004
1 01 03.290,-32 25 15.700,18.373,0.004,17.287,0.003
1 00 24.330,-32 25 21.800,21.336,0.022,19.701,0.017
1 00 20.950,-32 25 22.400,18.132,0.003,17.439,0.004
1 00 53.550,-32 25 22.800,20.227,0.010,18.798,0.009
0 59 05.630,-32 25 24.500,17.614,0.002,16.452,0.002
1 01 11.130,-32 25 32.800,18.122,0.003,16.676,0.002
0 59 28.950,-32 25 35.700,20.601,0.012,19.917,0.021
0 59 51.760,-32 25 41.100,21.374,0.024,18.526,0.007
1 01 11.990,-32 25 42.300,21.460,0.024,20.257,0.029
0 59 10.450,-32 25 43.200,18.373,0.003,17.636,0.004
1 00 50.850,-32 25 43.200,18.379,0.004,17.454,0.004
0 59 48.220,-32 25 47.900,20.869,0.016,19.086,0.011
0 58 51.200,-32 25 48.900,19.473,0.006,16.991,0.002
0 59 29.070,-32 25 52.400,15.711,0.001,14.635,0.001
1 01 12.710,-32 25 53.500,15.537,0.001,14.748,0.001
1 00 20.300,-32 26 01.700,20.657,0.014,18.840,0.009
1 01 07.420,-32 26 08.300,17.197,0.002,15.880,0.001
1 01 00.520,-32 26 10.100,19.935,0.009,17.875,0.005
0 59 59.700,-32 26 10.600,21.445,0.023,20.609,0.039
0 58 53.120,-32 26 11.000,18.241,0.003,16.681,0.002
1 00 44.000,-32 26 11.900,16.246,0.001,15.205,0.001
0 59 52.540,-32 26 28.400,19.470,0.007,17.677,0.004
0 59 27.580,-32 26 34.700,18.997,0.005,16.646,0.002
0 59 14.720,-32 26 35.300,20.677,0.014,19.207,0.012
1 00 30.880,-32 26 36.100,22.161,0.041,20.608,0.037
0 59 58.890,-32 26 37.900,19.603,0.008,16.703,0.002
1 00 22.770,-32 26 37.900,20.256,0.010,19.638,0.017
0 58 53.650,-32 26 42.100,21.593,0.024,20.859,0.046
1 00 16.350,-32 26 52.700,20.658,0.013,19.572,0.016
0 58 47.610,-32 26 56.200,18.817,0.004,18.005,0.005
0 58 56.920,-32 26 57.600,19.506,0.006,18.894,0.009
0 59 21.860,-32 27 00.200,18.783,0.005,16.733,0.002
1 00 07.430,-32 27 03.400,17.621,0.002,16.700,0.002
1 00 56.730,-32 27 04.700,21.528,0.026,20.156,0.027
1 01 13.090,-32 27 07.700,21.055,0.018,19.384,0.014
1 00 36.370,-32 27 08.700,20.284,0.010,19.475,0.015
1 00 57.490,-32 27 12.000,21.511,0.026,20.075,0.025
0 58 49.530,-32 27 13.300,16.927,0.002,15.946,0.002
0 59 25.640,-32 27 13.900,20.028,0.008,19.926,0.023
0 59 45.050,-32 27 14.400,21.783,0.031,20.244,0.027
0 59 39.500,-32 27 14.700,19.546,0.007,18.868,0.009
1 01 10.510,-32 27 19.300,20.000,0.009,17.522,0.004
1 00 17.530,-32 27 27.000,18.092,0.003,16.949,0.003
1 00 42.430,-32 27 32.900,19.238,0.006,16.764,0.002
1 00 04.240,-32 27 37.000,18.967,0.005,18.445,0.007
0 59 15.670,-32 27 37.500,20.097,0.009,19.463,0.015
1 00 08.890,-32 27 41.000,21.480,0.026,18.966,0.009
0 59 03.490,-32 27 41.700,19.605,0.007,18.926,0.010
1 01 23.470,-32 27 43.400,20.678,0.014,18.238,0.006
0 59 29.840,-32 27 44.700,16.526,0.002,14.717,0.001
1 00 43.880,-32 27 48.000,17.006,0.002,16.412,0.002
1 01 02.480,-32 27 49.300,21.818,0.033,20.711,0.044
0 59 51.190,-32 27 50.400,17.443,0.002,16.643,0.002
1 00 13.510,-32 27 55.100,19.625,0.007,19.025,0.011
1 00 23.720,-32 27 58.100,15.822,0.001,14.987,0.001
1 00 56.970,-32 27 58.800,18.426,0.004,16.637,0.002
1 01 06.330,-32 28 05.000,22.431,0.052,21.824,0.118
1 00 35.030,-32 28 09.300,20.747,0.014,20.191,0.028
0 59 58.380,-32 28 15.300,22.417,0.057,19.794,0.018
1 01 10.160,-32 28 18.000,16.223,0.001,15.442,0.001
1 01 05.620,-32 28 20.200,21.811,0.035,19.470,0.015
1 00 19.240,-32 28 22.000,20.146,0.010,19.365,0.014
1 01 14.370,-32 28 22.700,21.628,0.030,18.996,0.010
1 00 04.810,-32 28 27.400,22.528,0.061,20.216,0.026
1 00 40.930,-32 28 30.400,21.900,0.032,21.181,0.064
0 59 53.310,-32 28 35.800,18.819,0.005,17.245,0.003
1 00 01.870,-32 28 36.700,19.981,0.009,17.525,0.004
1 00 26.700,-32 28 38.700,20.692,0.015,18.237,0.006
0 58 52.370,-32 28 41.800,21.192,0.019,20.156,0.026
1 01 14.510,-32 28 45.700,19.253,0.006,18.223,0.006
0 58 59.340,-32 28 45.800,21.451,0.022,20.842,0.048
1 01 16.810,-32 28 48.200,18.835,0.004,17.929,0.005
1 01 11.610,-32 28 53.000,19.303,0.006,16.940,0.003
0 59 38.130,-32 28 54.600,19.581,0.007,18.994,0.011
0 59 39.280,-32 28 55.700,21.520,0.026,19.685,0.017
1 01 25.480,-32 29 02.200,19.039,0.005,16.622,0.002
0 59 39.630,-32 29 03.100,22.595,0.058,21.735,0.104
0 59 17.650,-32 29 05.100,21.405,0.022,20.825,0.049
0 59 25.490,-32 29 07.500,21.173,0.020,19.957,0.023
0 58 55.060,-32 29 21.200,18.479,0.004,17.526,0.004
1 00 14.260,-32 29 21.200,20.849,0.015,19.844,0.021
0 59 36.330,-32 29 26.700,21.951,0.037,19.917,0.021
1 00 47.310,-32 29 30.200,19.374,0.006,16.992,0.003
0 59 22.660,-32 29 38.300,18.251,0.003,17.667,0.004
1 00 41.250,-32 29 38.600,22.264,0.044,21.396,0.077
0 59 07.660,-32 29 38.900,20.100,0.009,19.470,0.015
1 01 20.070,-32 29 42.500,18.335,0.003,17.093,0.003
1 01 23.690,-32 29 46.000,20.444,0.013,17.674,0.004
0 58 56.700,-32 29 46.100,22.131,0.042,19.875,0.019
1 01 22.220,-32 29 49.200,20.778,0.016,18.199,0.005
0 59 56.890,-32 29 49.900,20.485,0.012,19.748,0.020
1 00 58.970,-32 29 52.500,18.122,0.003,16.540,0.002
1 00 45.480,-32 29 54.100,21.953,0.035,20.468,0.034
1 00 23.270,-32 29 57.400,16.131,0.001,15.409,0.001
0 59 55.600,-32 29 59.700,18.430,0.004,17.947,0.005
0 58 49.500,-32 29 59.800,21.089,0.019,18.757,0.008
1 00 29.090,-32 30 00.700,16.773,0.002,16.063,0.002
0 59 17.360,-32 30 01.000,22.208,0.042,21.381,0.079
0 59 06.920,-32 30 01.700,15.638,0.001,14.810,0.001
1 00 31.390,-32 30 11.300,20.220,0.010,19.466,0.015
0 58 58.810,-32 30 12.100,20.518,0.013,18.225,0.006
1 01 10.050,-32 30 13.000,19.302,0.006,17.694,0.004
1 00 40.950,-32 30 18.400,20.212,0.010,19.607,0.017
0 59 17.190,-32 30 18.700,20.631,0.013,19.699,0.019
1 00 31.690,-32 30 18.900,22.289,0.050,19.870,0.020
1 00 03.660,-32 30 26.700,18.061,0.003,16.294,0.002
0 59 19.870,-32 30 29.600,20.053,0.010,17.345,0.003
0 59 22.240,-32 30 30.200,19.942,0.008,19.431,0.016
0 59 47.750,-32 30 30.900,20.669,0.014,18.948,0.010
0 59 13.860,-32 30 32.200,17.995,0.003,16.582,0.002
1 01 26.440,-32 30 32.800,20.331,0.011,19.257,0.013
1 00 38.240,-32 30 33.100,19.853,0.008,18.479,0.007
1 00 28.200,-32 30 33.900,19.594,0.007,18.736,0.009
1 00 24.040,-32 30 34.100,22.288,0.050,20.037,0.023
1 00 17.650,-32 30 34.600,20.380,0.011,19.686,0.019
1 00 53.120,-32 30 37.500,20.522,0.013,19.945,0.024
0 59 48.200,-32 30 40.000,20.789,0.015,19.766,0.020
0 59 36.440,-32 30 42.900,20.360,0.011,19.002,0.010
1 00 56.550,-32 30 43.300,20.598,0.014,18.893,0.010
1 00 50.910,-32 30 45.200,20.500,0.013,18.656,0.008
0 58 53.070,-32 30 47.900,21.746,0.032,19.169,0.011
1 00 08.150,-32 30 49.100,20.914,0.016,19.970,0.023
0 59 10.000,-32 30 51.700,19.627,0.007,18.151,0.006
1 00 54.980,-32 30 51.800,20.934,0.017,19.912,0.023
0 59 03.970,-32 30 52.500,18.663,0.004,16.647,0.002
0 59 42.050,-32 31 09.400,18.163,0.003,17.472,0.004
1 01 06.260,-32 31 09.800,16.535,0.002,14.987,0.001
1 00 51.200,-32 31 11.100,21.230,0.024,18.074,0.005
1 00 20.760,-32 31 13.600,19.700,0.007,19.106,0.012
1 00 25.590,-32 31 16.900,20.381,0.012,18.555,0.007
1 00 51.140,-32 31 29.200,20.869,0.017,19.311,0.014
0 58 47.740,-32 31 29.500,16.524,0.001,15.397,0.001
0 58 53.560,-32 31 29.600,20.839,0.016,18.645,0.008
1 00 43.990,-32 31 36.000,21.567,0.026,20.369,0.032
1 01 20.590,-32 31 38.800,20.887,0.016,20.175,0.028
0 59 08.760,-32 31 39.200,18.882,0.005,17.745,0.004
1 00 16.850,-32 31 43.400,22.035,0.041,19.567,0.016
1 00 24.690,-32 31 46.100,19.428,0.006,19.135,0.012
1 00 19.910,-32 31 50.500,21.629,0.027,21.099,0.063
1 00 34.310,-32 31 50.600,17.432,0.002,15.892,0.002
1 01 07.790,-32 31 53.000,20.903,0.016,20.182,0.029
0 59 02.200,-32 31 59.800,17.176,0.002,16.435,0.002
0 59 17.550,-32 32 03.000,20.123,0.010,19.192,0.013
1 00 22.780,-32 32 04.700,16.769,0.002,16.018,0.002
1 00 07.540,-32 32 06.700,18.217,0.004,16.144,0.002
1 00 50.650,-32 32 07.500,19.162,0.006,17.409,0.004
1 01 26.240,-32 32 08.900,15.008,0.001,14.200,0.001
1 00 30.490,-32 32 12.400,20.324,0.012,17.527,0.004
1 00 15.500,-32 32 16.900,22.146,0.043,20.692,0.042
1 00 05.880,-32 32 18.800,18.316,0.004,17.176,0.003
1 00 16.340,-32 32 24.500,22.584,0.063,20.548,0.036
0 59 17.240,-32 32 31.800,21.283,0.021,20.657,0.044
0 59 59.140,-32 32 31.900,21.660,0.032,18.889,0.009
0 59 22.510,-32 32 33.000,19.606,0.007,18.380,0.007
1 00 23.370,-32 32 37.600,22.331,0.051,20.547,0.037
1 00 31.080,-32 32 39.800,20.196,0.010,19.474,0.016
1 01 17.620,-32 32 43.300,20.873,0.017,18.787,0.009
1 01 17.070,-32 32 47.000,16.839,0.002,14.674,0.001
1 00 14.040,-32 32 48.900,20.910,0.016,20.013,0.025
1 00 49.260,-32 32 51.200,15.940,0.001,14.614,0.001
1 00 17.030,-32 32 51.800,19.046,0.005,18.280,0.006
1 00 01.800,-32 32 51.900,16.254,0.001,15.584,0.001
0 59 20.630,-32 33 00.900,20.871,0.017,19.170,0.012
1 01 23.210,-32 33 02.000,16.337,0.001,15.118,0.001
1 00 46.850,-32 33 14.300,18.128,0.003,16.036,0.002
0 59 34.960,-32 33 17.100,19.382,0.006,18.687,0.009
0 59 31.100,-32 33 19.100,22.058,0.038,21.636,0.100
0 58 57.890,-32 33 21.500,19.319,0.006,17.680,0.004
0 59 23.650,-32 33 24.000,19.956,0.009,17.557,0.004
0 58 49.440,-32 33 30.300,19.586,0.007,17.628,0.004
1 01 01.310,-32 33 31.600,18.811,0.005,16.284,0.002
1 01 02.670,-32 33 33.900,18.816,0.005,16.832,0.003
0 59 08.760,-32 33 37.900,21.028,0.019,18.527,0.007
1 00 07.020,-32 33 39.300,19.742,0.008,17.943,0.005
0 58 57.020,-32 33 39.800,21.385,0.023,20.128,0.026
1 01 23.830,-32 33 41.200,21.352,0.025,18.877,0.009
0 59 01.800,-32 33 46.700,20.809,0.015,20.141,0.027
1 00 22.530,-32 33 47.900,21.933,0.035,21.181,0.068
1 00 23.720,-32 33 49.400,22.085,0.039,21.327,0.077
1 01 07.480,-32 33 49.800,19.889,0.009,17.744,0.004
1 00 05.020,-32 33 50.500,19.726,0.008,18.726,0.009
1 01 23.020,-32 33 51.500,20.408,0.012,18.320,0.006
0 59 26.310,-32 33 54.900,20.302,0.012,17.926,0.005
0 59 29.950,-32 33 55.000,16.415,0.001,15.684,0.001
1 00 34.150,-32 33 56.100,19.119,0.005,18.714,0.009
1 01 00.570,-32 33 56.100,16.086,0.001,15.483,0.001
0 59 31.420,-32 33 57.600,16.625,0.002,15.384,0.001
0 59 44.080,-32 34 00.300,20.257,0.011,18.411,0.007
1 00 13.340,-32 34 02.500,21.870,0.036,19.875,0.021
0 59 05.500,-32 34 05.600,20.382,0.012,18.099,0.005
1 00 16.840,-32 34 06.000,21.749,0.034,19.288,0.013
1 00 18.610,-32 34 06.000,17.082,0.002,16.203,0.002
0 59 17.480,-32 34 07.100,18.681,0.004,18.156,0.006
0 59 15.910,-32 34 16.200,21.102,0.019,19.539,0.016
0 59 09.160,-32 34 16.300,22.162,0.047,19.537,0.015
0 59 16.460,-32 34 20.400,22.687,0.073,20.113,0.025
1 00 15.320,-32 34 28.500,20.646,0.014,19.563,0.017
0 59 56.850,-32 34 28.800,22.438,0.059,20.351,0.031
0 59 58.040,-32 34 28.800,22.147,0.047,19.650,0.017
1 01 02.130,-32 34 29.000,21.927,0.037,20.911,0.056
0 59 43.210,-32 34 35.400,20.770,0.015,20.308,0.032
1 00 26.060,-32 34 36.800,20.444,0.012,19.704,0.019
0 59 33.330,-32 34 37.300,16.734,0.002,15.975,0.002
1 01 19.880,-32 34 40.800,16.148,0.001,15.335,0.001
0 59 25.410,-32 34 41.100,18.858,0.005,17.580,0.004
1 00 19.840,-32 34 50.300,21.503,0.025,20.960,0.057
0 59 23.300,-32 34 52.700,21.278,0.023,18.952,0.010
1 00 29.320,-32 34 53.200,21.767,0.031,20.923,0.054
0 59 24.930,-32 34 55.300,21.010,0.017,20.420,0.037
0 58 53.200,-32 35 01.100,16.278,0.001,15.132,0.001
1 00 24.380,-32 35 02.800,22.202,0.045,20.786,0.047
1 01 13.160,-32 35 11.000,19.867,0.008,19.183,0.013
0 59 39.780,-32 35 12.000,21.650,0.032,19.122,0.011
1 00 12.210,-32 35 13.300,20.674,0.015,19.051,0.011
0 58 47.230,-32 35 13.500,20.353,0.011,18.097,0.005
1 00 48.810,-32 35 15.700,19.851,0.009,18.275,0.007
1 00 46.170,-32 35 16.000,15.984,0.001,14.986,0.001
0 59 03.420,-32 35 17.400,21.893,0.035,20.134,0.026
1 00 12.850,-32 35 17.400,19.865,0.009,17.747,0.004
0 59 34.340,-32 35 20.100,21.923,0.040,19.215,0.012
0 59 40.260,-32 35 20.600,19.500,0.007,17.913,0.005
1 00 52.810,-32 35 20.600,22.058,0.042,21.146,0.070
1 01 23.060,-32 35 20.600,21.390,0.025,19.345,0.014
0 59 02.620,-32 35 21.100,18.572,0.004,17.488,0.004
0 59 25.560,-32 35 21.800,17.857,0.003,16.828,0.003
0 59 00.290,-32 35 23.900,18.004,0.003,16.390,0.002
1 00 30.060,-32 35 29.000,19.027,0.005,18.026,0.005
1 00 19.590,-32 35 29.400,16.374,0.001,15.694,0.001
1 00 07.510,-32 35 30.200,18.129,0.003,17.344,0.004
0 59 24.560,-32 35 30.500,17.545,0.003,15.920,0.002
0 59 44.200,-32 35 31.600,18.079,0.003,17.313,0.004
1 01 05.880,-32 35 35.800,22.714,0.075,20.929,0.054
1 00 59.810,-32 35 36.500,21.532,0.031,18.727,0.009
0 59 11.590,-32 35 39.500,19.835,0.008,19.062,0.012
0 59 19.710,-32 35 40.000,21.901,0.039,19.083,0.011
1 00 01.580,-32 35 42.500,20.889,0.017,19.746,0.020
1 00 51.820,-32 35 44.500,20.704,0.016,18.259,0.006
0 59 51.940,-32 35 44.700,18.842,0.005,17.834,0.005
1 00 54.680,-32 35 44.700,19.107,0.005,18.433,0.008
1 00 45.220,-32 35 47.300,16.589,0.002,15.835,0.002
1 00 18.080,-32 35 50.900,19.740,0.008,18.141,0.006
1 00 40.080,-32 35 51.900,18.629,0.004,16.144,0.002
0 59 05.260,-32 35 55.100,21.252,0.022,19.514,0.016
0 59 44.530,-32 35 59.800,20.953,0.018,18.964,0.010
0 59 46.170,-32 36 03.900,17.609,0.003,17.052,0.003
1 00 41.350,-32 36 04.000,20.738,0.016,18.292,0.006
1 01 21.940,-32 36 07.300,21.135,0.019,20.230,0.030
0 59 12.900,-32 36 07.900,18.468,0.004,17.105,0.003
1 01 05.440,-32 36 09.000,21.433,0.029,18.375,0.006
0 58 50.220,-32 36 11.200,19.310,0.006,18.647,0.008
1 00 05.500,-32 36 11.200,18.879,0.005,18.294,0.007
1 01 01.880,-32 36 15.500,22.353,0.059,19.875,0.021
0 59 53.310,-32 36 16.700,22.460,0.055,21.676,0.105
1 00 34.730,-32 36 19.000,22.075,0.046,18.966,0.010
0 58 52.840,-32 36 19.400,19.757,0.008,18.044,0.005
0 59 22.990,-32 36 20.300,16.054,0.001,15.520,0.001
1 00 24.860,-32 36 21.600,19.746,0.008,18.905,0.010
1 01 05.440,-32 36 27.700,21.859,0.035,20.827,0.052
1 00 59.890,-32 36 29.100,18.768,0.005,16.626,0.002
1 01 15.240,-32 36 30.500,17.538,0.002,16.738,0.002
0 59 48.060,-32 36 31.400,16.044,0.001,15.022,0.001
1 01 15.600,-32 36 31.400,21.055,0.020,18.983,0.010
0 59 09.780,-32 36 36.700,17.976,0.003,16.369,0.002
1 00 26.360,-32 36 38.400,21.513,0.027,19.786,0.020
1 00 08.640,-32 36 41.700,22.040,0.041,20.345,0.032
0 59 14.440,-32 36 44.800,20.627,0.013,20.197,0.030
1 00 40.780,-32 36 46.900,19.277,0.006,17.091,0.003
1 00 50.410,-32 36 49.200,19.774,0.009,17.532,0.004
0 59 05.860,-32 36 49.800,20.539,0.013,19.620,0.018
0 59 09.430,-32 36 54.000,21.537,0.026,20.721,0.046
0 59 02.400,-32 36 55.900,17.899,0.003,16.665,0.002
0 59 43.290,-32 36 56.500,18.131,0.003,16.164,0.002
1 00 17.790,-32 36 59.100,20.155,0.010,18.949,0.011
1 01 12.190,-32 36 59.900,22.086,0.047,19.361,0.014
0 59 42.700,-32 37 00.600,20.624,0.015,18.241,0.006
1 00 28.170,-32 37 00.700,18.239,0.003,17.374,0.004
0 59 43.540,-32 37 04.400,17.481,0.002,15.711,0.001
1 00 55.620,-32 37 05.800,16.646,0.002,14.990,0.001
1 00 55.210,-32 37 06.200,18.192,0.004,16.139,0.002
0 59 31.860,-32 37 13.200,18.927,0.005,18.083,0.006
0 59 07.180,-32 37 13.400,17.616,0.002,16.977,0.003
1 00 22.280,-32 37 13.600,17.928,0.003,17.382,0.004
0 59 12.280,-32 37 15.300,21.023,0.017,20.458,0.038
1 00 54.130,-32 37 22.400,19.409,0.007,17.746,0.005
1 01 26.680,-32 37 26.000,21.281,0.023,19.167,0.012
0 59 05.570,-32 37 27.100,16.086,0.001,15.164,0.001
0 59 51.680,-32 37 27.100,21.854,0.036,20.268,0.030
1 00 20.220,-32 37 31.000,22.291,0.046,21.764,0.116
1 00 06.640,-32 37 31.200,18.856,0.005,17.114,0.003
0 59 21.470,-32 37 31.400,18.327,0.004,17.873,0.005
0 59 26.080,-32 37 31.700,17.524,0.002,16.733,0.003
0 59 41.120,-32 37 45.300,19.730,0.008,17.657,0.004
1 00 07.650,-32 37 45.500,19.884,0.009,17.911,0.005
0 59 24.170,-32 37 49.900,20.443,0.012,19.194,0.013
0 59 05.100,-32 37 58.600,16.415,0.001,15.674,0.001
1 00 41.590,-32 37 59.000,19.931,0.009,17.773,0.004
1 01 02.860,-32 38 00.600,14.680,0.001,14.085,0.001
0 59 33.990,-32 38 01.100,20.338,0.011,19.268,0.013
1 01 24.490,-32 38 04.000,20.588,0.014,18.948,0.010
0 59 45.280,-32 38 05.300,20.883,0.017,19.748,0.020
1 00 34.430,-32 38 08.300,20.433,0.013,18.413,0.007
1 00 25.480,-32 38 08.800,21.144,0.022,18.415,0.007
0 59 57.560,-32 38 12.800,20.575,0.014,19.013,0.011
0 59 02.950,-32 38 13.400,21.874,0.032,21.405,0.084
1 00 24.830,-32 38 17.100,16.225,0.001,15.736,0.002
1 00 03.300,-32 38 21.600,22.386,0.052,21.847,0.125
1 01 10.530,-32 38 22.700,18.876,0.005,18.154,0.006
1 00 07.930,-32 38 24.700,19.309,0.006,17.659,0.004
1 00 15.750,-32 38 25.000,20.034,0.010,18.101,0.006
1 00 42.470,-32 38 25.300,19.203,0.006,15.971,0.002
0 59 54.750,-32 38 25.700,16.081,0.001,14.621,0.001
0 58 58.870,-32 38 28.000,19.539,0.007,16.916,0.003
1 01 12.720,-32 38 28.600,20.143,0.010,18.566,0.008
1 00 02.730,-32 38 29.100,20.994,0.020,18.604,0.008
0 59 13.910,-32 38 30.700,22.007,0.038,20.882,0.053
1 01 12.640,-32 38 32.000,20.435,0.013,18.042,0.005
0 59 36.860,-32 38 37.400,18.840,0.005,18.314,0.007
0 59 07.740,-32 38 38.800,19.905,0.008,19.990,0.026
1 00 03.130,-32 38 45.500,21.438,0.027,19.050,0.011
1 00 00.040,-32 38 47.000,20.824,0.017,18.670,0.008
0 59 10.720,-32 38 54.900,21.509,0.028,19.041,0.011
0 59 07.650,-32 38 55.900,21.149,0.022,18.483,0.007
0 59 38.740,-32 38 56.900,21.949,0.042,19.098,0.011
0 59 50.510,-32 39 00.100,19.312,0.006,17.341,0.003
0 59 12.570,-32 39 03.400,17.502,0.002,16.608,0.002
0 59 02.200,-32 39 08.600,21.122,0.019,20.515,0.039
1 00 58.110,-32 39 09.400,21.639,0.030,20.936,0.059
0 58 51.450,-32 39 19.400,22.380,0.053,20.353,0.031
0 59 03.560,-32 39 19.700,18.581,0.004,18.050,0.006
1 00 52.450,-32 39 22.300,21.313,0.025,19.362,0.015
1 01 14.560,-32 39 23.700,22.182,0.051,19.401,0.014
0 59 12.590,-32 39 24.100,20.789,0.017,18.239,0.006
1 01 02.730,-32 39 24.300,21.927,0.042,19.257,0.013
1 00 33.550,-32 39 26.600,20.196,0.011,18.160,0.006
1 00 23.720,-32 39 26.800,21.727,0.030,20.876,0.053
1 00 34.960,-32 39 38.100,20.566,0.014,18.672,0.008
1 00 37.590,-32 39 40.500,20.024,0.010,17.359,0.003
1 00 11.430,-32 39 44.000,20.675,0.015,18.518,0.007
0 59 05.900,-32 39 44.300,19.022,0.005,17.480,0.004
0 59 34.550,-32 39 46.700,21.841,0.038,19.113,0.011
0 58 52.020,-32 39 49.900,22.333,0.052,19.944,0.021
0 59 13.900,-32 39 52.100,20.113,0.010,19.507,0.017
1 00 52.670,-32 39 53.600,20.862,0.018,19.031,0.011
1 00 25.860,-32 40 05.100,21.258,0.023,19.183,0.012
1 00 52.070,-32 40 05.400,17.586,0.003,16.897,0.003
1 01 10.480,-32 40 05.600,19.759,0.008,18.047,0.005
1 00 31.860,-32 40 07.200,22.857,0.083,20.536,0.037
0 59 17.960,-32 40 07.800,21.727,0.031,20.428,0.036
0 59 56.800,-32 40 10.500,22.156,0.044,21.374,0.082
0 59 20.800,-32 40 12.300,18.282,0.003,17.701,0.005
0 58 59.580,-32 40 13.400,18.819,0.005,18.085,0.006
0 59 01.380,-32 40 14.300,21.089,0.018,20.404,0.035
1 00 21.610,-32 40 19.400,20.563,0.014,18.459,0.007
0 59 50.840,-32 40 19.900,22.379,0.054,20.958,0.055
0 59 16.550,-32 40 21.900,22.229,0.051,19.715,0.018
1 01 15.190,-32 40 29.700,21.838,0.035,20.843,0.052
0 59 33.200,-32 40 30.100,17.028,0.002,16.274,0.002
0 59 41.410,-32 40 32.400,17.443,0.003,15.128,0.001
1 00 27.120,-32 40 32.600,19.980,0.010,17.953,0.005
1 00 21.350,-32 40 37.200,17.029,0.002,16.418,0.002
1 00 38.580,-32 40 37.800,16.737,0.002,15.714,0.001
0 59 56.230,-32 40 41.200,21.415,0.026,19.365,0.014
1 00 19.480,-32 40 45.200,21.131,0.019,20.457,0.037
0 59 02.760,-32 40 48.900,19.712,0.007,18.993,0.011
0 58 54.050,-32 40 52.300,17.288,0.002,15.281,0.001
0 58 52.050,-32 40 53.100,22.648,0.063,21.438,0.082
0 59 56.130,-32 40 54.300,18.985,0.006,16.545,0.002
1 01 10.150,-32 40 54.600,20.516,0.014,18.566,0.008
1 01 01.070,-32 40 57.400,21.338,0.024,20.286,0.033
0 58 58.090,-32 40 59.600,20.198,0.010,19.618,0.018
1 00 56.060,-32 41 02.400,20.063,0.010,17.860,0.005
0 59 10.560,-32 41 02.900,19.127,0.006,17.215,0.003
0 59 17.020,-32 41 04.400,19.393,0.007,17.098,0.003
1 00 00.500,-32 41 11.100,22.065,0.040,21.368,0.083
0 58 49.540,-32 41 23.500,17.784,0.003,17.054,0.003
1 00 13.430,-32 41 24.000,19.521,0.007,18.835,0.010
0 59 01.780,-32 41 28.800,20.325,0.011,19.603,0.018
0 58 54.250,-32 41 36.900,20.364,0.011,19.504,0.016
1 01 06.760,-32 41 41.600,20.103,0.011,17.665,0.004
1 01 03.890,-32 41 55.300,16.693,0.002,16.138,0.002
1 00 36.740,-32 41 55.400,17.133,0.002,16.602,0.002
1 00 18.090,-32 41 56.300,20.325,0.011,19.172,0.012
0 59 22.170,-32 41 57.400,19.764,0.008,17.726,0.004
0 59 05.460,-32 42 00.000,18.509,0.004,17.902,0.005
1 00 02.100,-32 42 00.000,19.965,0.010,17.156,0.003
1 00 57.870,-32 42 00.200,20.550,0.013,19.725,0.020
1 00 03.930,-32 42 00.300,19.079,0.006,17.458,0.004
0 59 32.540,-32 42 06.900,17.070,0.002,16.607,0.002
0 59 50.170,-32 42 09.200,21.260,0.021,20.746,0.048
1 00 54.970,-32 42 11.000,22.057,0.043,19.945,0.023
1 01 14.370,-32 42 13.900,21.104,0.018,20.457,0.037
1 00 12.140,-32 42 14.000,21.232,0.022,19.375,0.014
1 00 28.190,-32 42 17.000,21.985,0.040,19.636,0.017
1 00 35.900,-32 42 18.700,16.480,0.002,15.240,0.001
1 01 24.640,-32 42 20.000,21.689,0.028,20.818,0.048
1 00 37.590,-32 42 20.500,21.049,0.019,19.435,0.015
0 59 07.620,-32 42 22.100,21.250,0.024,18.239,0.006
1 00 15.450,-32 42 23.300,21.074,0.018,20.204,0.029
0 59 54.310,-32 42 24.000,22.218,0.044,21.478,0.089
0 59 34.890,-32 42 24.800,21.629,0.030,19.556,0.016
0 59 04.890,-32 42 32.000,22.241,0.049,20.001,0.023
0 59 26.700,-32 42 33.300,21.279,0.024,18.711,0.008
1 01 19.290,-32 42 33.600,21.521,0.028,19.096,0.011
1 01 22.250,-32 42 36.700,22.585,0.064,20.245,0.028
1 01 25.190,-32 42 39.400,20.579,0.013,18.758,0.009
1 01 22.240,-32 42 45.400,21.420,0.025,19.190,0.012
1 01 22.740,-32 42 46.800,19.775,0.008,17.759,0.004
0 59 03.960,-32 42 47.300,18.399,0.004,17.253,0.003
1 01 07.020,-32 42 47.800,22.314,0.047,21.683,0.107
1 00 45.110,-32 42 50.200,19.609,0.007,17.919,0.005
0 59 56.520,-32 42 50.900,20.083,0.010,18.401,0.007
1 00 31.450,-32 43 02.300,15.356,0.001,14.173,0.001
0 59 45.230,-32 43 08.400,15.736,0.001,15.210,0.001
0 58 56.370,-32 43 10.100,19.942,0.009,17.663,0.004
0 58 55.840,-32 43 10.900,19.007,0.005,17.330,0.003
0 59 21.020,-32 43 11.000,17.981,0.003,17.264,0.003
0 59 34.520,-32 43 16.400,19.880,0.009,17.860,0.005
0 59 07.020,-32 43 16.700,21.938,0.037,20.244,0.029
0 59 08.090,-32 43 19.300,16.862,0.002,15.169,0.001
0 58 56.220,-32 43 21.500,19.663,0.007,18.724,0.009
1 00 19.670,-32 43 24.900,22.047,0.040,20.510,0.036
1 00 56.280,-32 43 25.500,21.154,0.020,20.582,0.042
